CCG16CD,CCG16CDH,CCG16NM,STP17CD,STP17NM,FID,Product,LiveDate,PharmacyReferralServiceIdWhitelist,ReferralServiceIdWhitelist
E38000091,01J,NHS Knowsley CCG,E54000008,Cheshire and Merseyside,37,Pathways,07/12/2017,2000004502|1483010309|1483009094|1483094292|1483097033|1484666992|1484757347|1484049160|1484134513|1479914134|1479985189|1481212709|1481275223|1481275300|1481556231|1481556381|1481553946|1481558433|1481561560|1481628178|1481282112|1481212709|1481209596|1481209767|1481213345|1481210317|1481210394|1481211776|1481213464|1481211947|1481212193|1481274827|1481274957|1481214227|1481214879|1481275223|1481275300|1481215225|1481215353|1481275370|1481274222|1481274324|1481274477|1481275478|1481277023|1481277090|1481277171|1481556231|1481280387|1481283192|1481283913|1481556300|1481546419|1481285230|1481301351|1481301507|1481301550|1481301624|1481301708|1481301813|1481556381|1481556475|1481547194|1481547262|1481547496|1481546582|1481546677|1481547878|1481548835|1481549011|1481549240|1481553946|1481554373|1481554892|1481557234|1481555826|1481557458|1481557987|1481558285|1481561469|1481558433|1481561560|1481560170|1481559715|1481561052|1481559657|1481560110|1481560244|1481560294|1481561198|1481620910|1481621637|1481621754|1481628178|1481622892|1481623020|1481623087|1481623605|1481623750|1481627280|1481627415|1481627618|2000006636|1481552502|1481284469|1481284823|1481285993|1481286211|1481553235|1481281079|1481281357|1481554420|1481558742|1481281933|1481560307|1481282112|1482406329|1482421941|1482406904|1483008286|1483010855|1483005668|1483009832|1483010559|1483011106|1483010207|1483094942|1483023122|1483029087|1483092726|1483021074|1483108257|1483096370|1483106750|1483114405|1483095886|1483108931|1483108663|1484584392|1484565688|1484575440|1484572305|1484757665|1484148609|1484148773|1484578927|1484565119|1484151505|1484758246|1484324196|1484142644|1484054536|1484058890|1483526694|1484059293|1483458635|1483458470|1484141122|1484057928|1484134807|1484060980|1484046375|1478702919|1479912562|1478705961|1478707341|1478703467|1479986467|1479917406|1478697965|1479911159|1478701080|1479986796|1479985961|1478700711|1478707520|1478779097|1478778241|1479914418|1478778363|1478696651|1479984417|1483013188,115217|153404|1318592102|1358779488|1380537177|1380537579|1380550830|1381936411|1427707367|1427707875|1427707914|1427708028|1427708146|1427708875|1479121363|2000001929|2000002213|2000002215|2000002216|2000002217|2000002218
E38000016,00T,NHS Bolton CCG,E54000007,Greater Manchester,38,Pathways,29/05/2018,,1397651034|2000005140|1397651034|1332851476|2000006626
E38000173,05V,NHS Stafford and Surrounds CCG,E54000010,Staffordshire,39,Pathways,04/04/2018,,2000005543|2000005562|2000005563|2000005564|2000009057|2000009121|2000009122|2000009124
E38000092,08K,NHS Lambeth CCG,E54000030,South East London,40,Pathways,30/11/2017,,1456933388|1454277706|1403536392|1354112563|1442223256|1317643273|2000007897|2000012829|2000012831
E38000018,02W,NHS Bradford City CCG,E54000005,West Yorkshire,41,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014907
E38000174,01W,NHS Stockport CCG,E54000007,Greater Manchester,42,Pathways,29/05/2018,,1332340816|1366884602|1332341645|1365174574|2000006657|2000006691
E38000097,04C,NHS Leicester City CCG,E54000015,"Leicester, Leicestershire and Rutland",43,Pathways,01/06/2018,,2000005498|2000006594|2000006592|2000006593|2000006334|2000006329|2000006335|2000006261|2000006265|2000006684|2000006682|2000006811|2000006812|2000006813|2000006800|2000006685|2000009934
E38000019,02R,NHS Bradford Districts CCG,E54000005,West Yorkshire,44,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014907
E38000175,05W,NHS Stoke on Trent CCG,E54000010,Staffordshire,45,Pathways,04/04/2018,,2000005543|2000005562|2000005563|2000005564|2000009057|2000009121|2000009122|2000009124
E38000098,08L,NHS Lewisham CCG,E54000030,South East London,46,Pathways,30/11/2017,,1456933388|1454277706|1403536392|1354112563|1442223256|1317643273|2000007897|2000012829|2000012831
E38000020,07P,NHS Brent CCG,E54000027,North West London,47,Pathways,24/01/2018,,2000007896|2000008487|2000015767
E38000176,00P,NHS Sunderland CCG,E54000046,"Northumberland, Tyne and Wear and North Durham",48,Pathways,24/04/2018,,2000000471|2000000467|2000008960|2000013667|2000013669|2000014690|1467721684
E38000099,03T,NHS Lincolnshire East CCG,E54000013,Lincolnshire,49,Pathways,29/05/2018,,2000006025|2000006034|2000006035|2000006454|2000006455|2000006456
E38000021,09D,NHS Brighton and Hove CCG,E54000033,Sussex and East Surrey,50,Pathways,10/05/2018,,2000013792|2000013793|2000013794|2000013795|2000013796
E38000177,99H,NHS Surrey Downs CCG,E54000035,Surrey Heartlands,51,Pathways,10/05/2018,,2000011213|2000011214|2000013897|2000013902|2000014070|2000014098
E38000178,10C,NHS Surrey Heath CCG,E54000034,Frimley Health,52,Pathways,10/05/2018,,2000010476|2000010479
E38000179,08T,NHS Sutton CCG,E54000031,South West London,53,Pathways,25/04/2018,,2000005325|1475055548|1454277843|2000007898
E38000180,10D,NHS Swale CCG,E54000032,Kent and Medway,54,Pathways,10/05/2018,,2000013672|2000013642
E38000181,12D,NHS Swindon CCG,E54000040,"Bath, Swindon and Wiltshire",55,Pathways,10/07/2018,,2000008366|2000008365|2000008364
E38000182,01Y,NHS Tameside and Glossop CCG,E54000007,Greater Manchester,56,Pathways,29/05/2018,,1317969390|1331813455|1331813078|2000006646|2000006692
E38000183,05X,NHS Telford and Wrekin CCG,E54000011,Shropshire and Telford and Wrekin,57,Pathways,26/06/2018,,2000013421|2000015328|2000015467|2000015648|2000015661
E38000184,10E,NHS Thanet CCG,E54000032,Kent and Medway,58,Pathways,10/05/2018,,1406827704|2000012128
E38000185,07G,NHS Thurrock CCG,E54000026,Mid and South Essex,59,Pathways,15/05/2018,,2000006865|2000005726|1359393565|2000008049
E38000186,08V,NHS Tower Hamlets CCG,E54000029,North East London,60,Pathways,30/11/2017,,2000006999|2000007000|1454277430|2000007895
E38000187,02A,NHS Trafford CCG,E54000007,Greater Manchester,61,Pathways,29/05/2018,,141593|1367591136|1393846879|2000006659|2000006694
E38000188,03Q,NHS Vale of York CCG,E54000006,"Humber, Coast and Vale",62,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014921
E38000189,02D,NHS Vale Royal CCG,E54000008,Cheshire and Merseyside,63,Pathways,28/04/2018,2000015250|1483010309|1483009094|1483094292|1483097033|1484666992|1484757347|1484049160|1484134513|1479914134|1479985189|1481212709|1481275223|1481275300|1481556231|1481556381|1481553946|1481558433|1481561560|1481628178|1481282112|1481212709|1481209596|1481209767|1481213345|1481210317|1481210394|1481211776|1481213464|1481211947|1481212193|1481274827|1481274957|1481214227|1481214879|1481275223|1481275300|1481215225|1481215353|1481275370|1481274222|1481274324|1481274477|1481275478|1481277023|1481277090|1481277171|1481556231|1481280387|1481283192|1481283913|1481556300|1481546419|1481285230|1481301351|1481301507|1481301550|1481301624|1481301708|1481301813|1481556381|1481556475|1481547194|1481547262|1481547496|1481546582|1481546677|1481547878|1481548835|1481549011|1481549240|1481553946|1481554373|1481554892|1481557234|1481555826|1481557458|1481557987|1481558285|1481561469|1481558433|1481561560|1481560170|1481559715|1481561052|1481559657|1481560110|1481560244|1481560294|1481561198|1481620910|1481621637|1481621754|1481628178|1481622892|1481623020|1481623087|1481623605|1481623750|1481627280|1481627415|1481627618|2000006636|1481552502|1481284469|1481284823|1481285993|1481286211|1481553235|1481281079|1481281357|1481554420|1481558742|1481281933|1481560307|1481282112|1482406329|1482421941|1482406904|1483008286|1483010855|1483005668|1483009832|1483010559|1483011106|1483010207|1483094942|1483023122|1483029087|1483092726|1483021074|1483108257|1483096370|1483106750|1483114405|1483095886|1483108931|1483108663|1484584392|1484565688|1484575440|1484572305|1484757665|1484148609|1484148773|1484578927|1484565119|1484151505|1484758246|1484324196|1484142644|1484054536|1484058890|1483526694|1484059293|1483458635|1483458470|1484141122|1484057928|1484134807|1484060980|1484046375|1478702919|1479912562|1478705961|1478707341|1478703467|1479986467|1479917406|1478697965|1479911159|1478701080|1479986796|1479985961|1478700711|1478707520|1478779097|1478778241|1479914418|1478778363|1478696651|1479984417|1483013188,1363355784|142422|2000005618|2000013648|1320667329|2000005617|1353600702|1315219211|2000005616|116630|1363350449|2000005615|137712|142420|2000005619|137713|142421|2000005328|2000008586
E38000190,03R,NHS Wakefield CCG,E54000005,West Yorkshire,64,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014922
E38000191,05Y,NHS Walsall CCG,E54000016,The Black Country,65,Pathways,26/06/2018,,2000013418|2000015313|2000015455|2000015668|2000015657
E38000192,08W,NHS Waltham Forest CCG,E54000029,North East London,66,Pathways,30/11/2017,,2000006999|2000007000|1454277430|2000007895
E38000193,08X,NHS Wandsworth CCG,E54000031,South West London,67,Pathways,25/04/2018,,2000005325|1475055548|1454277843|2000007898
E38000194,02E,NHS Warrington CCG,E54000008,Cheshire and Merseyside,68,Pathways,07/12/2017,2000010013|1483010309|1483009094|1483094292|1483097033|1484666992|1484757347|1484049160|1484134513|1479914134|1479985189|1481212709|1481275223|1481275300|1481556231|1481556381|1481553946|1481558433|1481561560|1481628178|1481282112|1481212709|1481209596|1481209767|1481213345|1481210317|1481210394|1481211776|1481213464|1481211947|1481212193|1481274827|1481274957|1481214227|1481214879|1481275223|1481275300|1481215225|1481215353|1481275370|1481274222|1481274324|1481274477|1481275478|1481277023|1481277090|1481277171|1481556231|1481280387|1481283192|1481283913|1481556300|1481546419|1481285230|1481301351|1481301507|1481301550|1481301624|1481301708|1481301813|1481556381|1481556475|1481547194|1481547262|1481547496|1481546582|1481546677|1481547878|1481548835|1481549011|1481549240|1481553946|1481554373|1481554892|1481557234|1481555826|1481557458|1481557987|1481558285|1481561469|1481558433|1481561560|1481560170|1481559715|1481561052|1481559657|1481560110|1481560244|1481560294|1481561198|1481620910|1481621637|1481621754|1481628178|1481622892|1481623020|1481623087|1481623605|1481623750|1481627280|1481627415|1481627618|2000006636|1481552502|1481284469|1481284823|1481285993|1481286211|1481553235|1481281079|1481281357|1481554420|1481558742|1481281933|1481560307|1481282112|1482406329|1482421941|1482406904|1483008286|1483010855|1483005668|1483009832|1483010559|1483011106|1483010207|1483094942|1483023122|1483029087|1483092726|1483021074|1483108257|1483096370|1483106750|1483114405|1483095886|1483108931|1483108663|1484584392|1484565688|1484575440|1484572305|1484757665|1484148609|1484148773|1484578927|1484565119|1484151505|1484758246|1484324196|1484142644|1484054536|1484058890|1483526694|1484059293|1483458635|1483458470|1484141122|1484057928|1484134807|1484060980|1484046375|1478702919|1479912562|1478705961|1478707341|1478703467|1479986467|1479917406|1478697965|1479911159|1478701080|1479986796|1479985961|1478700711|1478707520|1478779097|1478778241|1479914418|1478778363|1478696651|1479984417|1483013188,1363355784|142422|2000005618|2000013648|1320667329|2000005617|1353600702|1315219211|2000005616|116630|1363350449|2000005615|137712|142420|2000005619|137713|142421|2000005328
E38000195,05H,NHS Warwickshire North CCG,E54000018,Coventry and Warwickshire,69,Pathways,21/06/2018,,2000013427|2000013431|2000015317|2000015458|2000015573|2000015574
