CCG16CD,CCG16CDH,CCG16NM,STP17CD,STP17NM,FID,Product,LiveDate,PharmacyReferralServiceIdWhitelist,ReferralServiceIdWhitelist
E38000069,03D,"NHS Hambleton, Richmondshire and Whitby CCG",E54000049,Cumbria and North East,186,Pathways,26/02/2018,,1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|2000012275|2000014980
E38000070,08C,NHS Hammersmith and Fulham CCG,E54000027,North West London Health and Care Partnership,187,Pathways,30/08/2018,,2000003408|1311856170|1414739827|2000007893|2000007895|2000007896|2000007897|2000007898
E38000072,08D,NHS Haringey CCG,E54000028,North London Partners in Health and Care,189,Pathways,30/08/2018,,2000006554|2000007183|2000007184|2000007187|2000007893|2000007895|2000007896|2000007897|2000007898
E38000073,03E,NHS Harrogate and Rural District CCG,E54000005,West Yorkshire and Harrogate (Health and Care Partnership),190,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014912|2000015392
E38000074,08E,NHS Harrow CCG,E54000027,North West London Health and Care Partnership,191,Pathways,31/07/2018,,2000007896|2000008489|2000015770
E38000075,00K,NHS Hartlepool and Stockton-on-Tees CCG,E54000049,Cumbria and North East,192,Pathways,25/07/2018,,1490605439|2000004852|1496936024|2000000471|2000000467|2000013667|2000013669|2000014689|1464362309|1467721684
E38000076,09P,NHS Hastings and Rother CCG,E54000033,Sussex and East Surrey,193,Pathways,31/07/2018,,2000013792|2000013793|2000013794|2000013795|2000013796|2000016709|2000016703|2000016711|2000016707|2000016705|2000016293|2000016252|2000016247|2000016287
E38000077,08F,NHS Havering CCG,E54000029,East London Health and Care Partnership,194,Pathways,22/01/2018,,2000006999|2000007000|2000007895
E38000078,05F,NHS Herefordshire CCG,E54000019,Herefordshire and Worcestershire,195,Pathways,01/03/2017,,2000043363|2000043534|2000043542|2000043879|2000043885
E38000079,06N,NHS Herts Valleys CCG,E54000025,Hertfordshire and West Essex,1,Pathways,13/07/2018,2000012821|2000015813|2000057506|2000055596|2000057264|2000037286|2000033056|2000033060|2000033065|2000033069|2000033073|2000033077|2000033080|2000033084|2000033087|2000033089|2000033091|2000033094|2000033098|2000033102|2000033105|2000033110|2000033113|2000033118|2000033121|2000033123|2000033127|2000033130|2000033134|2000033137|2000033141|2000033145|2000033148|2000033151|2000033153|2000033156|2000033161|2000033165|2000033168|2000033172|2000033176|2000033180|2000033184|2000033188|2000033192|2000033197|2000033212|2000033220|2000033227|2000033233|2000033241|2000033246|2000033252|2000033261|2000033269|2000033280|2000033291|2000033305|2000033322|2000033333|2000033342|2000033353|2000033362|2000033375|2000033388|2000033398|2000033411|2000033420|2000033432|2000033441|2000033454|2000033461|2000033471|2000033480|2000033490|2000033509|2000033517|2000033539|2000033555|2000033566|2000033576|2000033585|2000033590|2000033599|2000033606|2000033624|2000033636|2000033643|2000033651|2000033664|2000033679|2000033688|2000033696|2000033704|2000033732|2000033743|2000033756|2000033766|2000033778|2000033790|2000033802|2000033813|2000033835|2000033847|2000033858|2000033882|2000033889|2000033900|2000033907|2000033913|2000033920|2000033928|2000033941|2000033954|2000033964|2000033973|2000033982|2000033989|2000033998|2000035680|2000035685|2000035691|2000035698|2000035704|2000035710|2000035718|2000035723|2000035728|2000035735|2000035743|2000035750|2000035783|2000035790|2000035796|2000035802|2000035810|2000035819|2000035829|2000035835|2000035842|2000035854|2000035858|2000035866|2000035883|2000035891|2000035906|2000035924|2000035931|2000035937|2000035943|2000035954|2000035962|2000035970|2000035980|2000035988|2000035996|2000036003|2000036015|2000036019|2000036022|2000036024|2000036026|2000036028|2000036030|2000036032|2000036035|2000036038|2000036042|2000036046|2000036052|2000036055|2000036058|2000036061|2000036065|2000036067|2000036071|2000036074|2000036077|2000036081|2000036083|2000036088|2000036092|2000036096|2000036100|2000036104|2000036109|2000036117|2000036122|2000036128|2000036134|2000036141|2000036145|2000036149|2000036153|2000036161|2000036166|2000036171|2000036176|2000036181|2000036189|2000036196|2000036200|2000036207|2000036210|2000036213|2000036217|2000036222|2000036227|2000036232|2000036238|2000036245|2000036251|2000036255|2000036260|2000036269|2000036273|2000036276|2000036278|2000036281|2000036284|2000036287|2000036291|2000036326|2000036368|2000036374|2000036391|2000036404|2000036413|2000036428|2000036438|2000036446|2000036457|2000036466|2000036474|2000036496|2000036509|2000036517|2000036529|2000036537|2000036548|2000036557|2000036567|2000036580|2000036591|2000057506|2000056266,2000005829|2000005414|2000005832|2000001552|2000005835|2000006980|2000011053|2000005832
E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG",E54000007,Greater Manchester Health and Social Care Partnership,4,Pathways,23/07/2018,1345195736|2000026195|2000026205|2000026212|2000026225|2000026236|2000026245|2000026251|2000026257|2000026275|2000026303|2000026312|2000026326|2000026342|2000026354|2000026368|2000026383|2000026399|2000026435|2000026450|2000026462|2000026473|2000026504|2000026537|2000026547|2000026634|2000026645|2000026666|2000026698|2000026707|2000026718|2000026759|2000026771|2000025584|2000025593|2000025617|2000025622|2000025630|2000025637|2000025646|2000025662|2000025686|2000025698|2000025735|2000025745|2000025756|2000025763|2000025773|2000025795|2000025803|2000025811|2000025856|2000025902|2000025912|2000025919|2000025950|2000025961|2000025984|2000026046|2000026063|2000026072|2000026085|2000026094|2000026102|2000026121|2000026223|2000026230|2000026267|2000026273|2000026279|2000027047|2000026712|2000026733|2000026907|2000026939|2000026780|2000026786|2000027052|2000026969|2000026911|2000026519|2000026795|2000026525|2000026737|2000026943|2000026790|2000026799|2000026632|2000026877|2000027060|2000026812|2000027022|2000026441|2000026571|2000026436|2000026599|2000026697|2000026578|2000026961|2000026947|2000026591|2000026447|2000026465|2000026481|2000026952|2000026313|2000026327|2000026307|2000026320|2000027017|2000026964|2000026377|2000026755|2000026397|2000026930|2000026392|2000026384|2000026367|2000026362|2000027035|2000026351|2000026357|2000026341|2000026403|2000026372|2000026346|2000026658|2000026637|2000026647|2000026626|2000026609|2000026622|2000026652|2000027032|2000026616|2000026706|2000027038|2000026750|2000026769|2000026819|2000026989|2000026839|2000027056|2000026891|2000026900|2000026870|2000026888|2000026862|2000026882|2000026811|2000026847|2000026858|2000026869|2000026893|2000026908|2000026917|2000026923|2000026927|2000026946|2000026956|2000026962|2000026972|2000026984|2000026995|2000027019|2000027030|2000027053|2000027066|2000027068|2000027070|2000027076|2000027082|2000027087|2000027103|2000027119|2000027130|2000027141|2000027176|2000027205|2000027219|2000027236|2000027249|2000027283|2000027288|2000027292|2000027297|2000027303|2000027309|2000027314|2000027321|2000027336|2000027348|2000027356|2000027366|2000027373|2000027391|2000027450|2000027460|2000027474|2000027484|2000027495|2000027502|2000027512|2000027547|2000027559|2000027569|2000027584|2000027595|2000027622|2000027633|2000027648|2000027658|2000027673|2000027714|2000027731|2000027752|2000027762|2000027772|2000027837|2000027839|2000027841|2000027845|2000027847|2000027850|2000027855|2000027857|2000027860|2000027866|2000027877|2000027884|2000027887|2000027893|2000027899|2000026825|2000026843|2000026854|2000027081|2000027106|2000027111|2000027117|2000027126|2000027148|2000027164|2000027188|2000027200|2000027212|2000027242|2000027253|2000027334|2000027343|2000027371|2000027399|2000027447|2000027458|2000027473|2000027486|2000027518|2000027537|2000027552|2000027567|2000027583|2000027596|2000027609|2000027618|2000027646|2000027661|2000031743|2000031754|2000026259|2000026268|2000026274|2000026281|2000026287|2000026297|2000026302|2000026314|2000026322|2000026336|2000026366|2000026374|2000026382|2000026406|2000026415|2000026421|2000026443|2000026452|2000026463|2000026471|2000026506|2000026521|2000026548|2000026556|2000026562|2000026569|2000026577|2000026585|2000026600|2000026608|2000026682|2000026684|2000026688|2000026692|2000026717|2000026726|2000026736|2000026743|2000026751|2000026777|2000026785|2000026789|2000026796|2000026803|2000026824|2000026830|2000026838|2000026850|2000026903|2000026910|2000026916|2000026920|2000026929|2000026948|2000026968|2000026979|2000026997|2000027007|2000027016|2000027037|2000027088|2000027102|2000027113|2000027127|2000027140|2000027146|2000027152|2000027158|2000027165|2000027171|2000027179|2000027187|2000027229|2000027234|2000027240|2000027272|2000027276|2000027289|2000027293|2000027296|2000027299|2000027302|2000027307|2000027310|2000027335|2000027354|2000027423|2000027425|2000027431|2000027433|2000027435|2000027437|2000027439|2000027441|2000027443|2000027445|2000027459|2000027466|2000027475|2000027482|2000027497|2000027515|2000027525|2000027560|2000027575|2000027593|2000027600|2000027629|2000027639|2000027647|2000027652|2000027689|2000027695|2000027703|2000027708|2000027713|2000027722|2000027729|2000027749|2000027765|2000027778|2000027805|2000027872|2000027875|2000027879|2000028092|2000028101|2000028120|2000028125|2000028129|2000028138|2000028144|2000028152|2000028156|2000028164|2000028171|2000028180|2000028185|2000028191|2000028198|2000028203|2000028215|2000028219|2000028221|2000028223|2000028225|2000028237|2000028251|2000028281|2000028289|2000028293|2000028300|2000028306|2000028318|2000028322|2000028329|2000028334|2000028341|2000028345|2000028351|2000028356|2000028362|2000028370|2000028375|2000028380|2000028388|2000028394|2000028403|2000028409|2000028420|2000028425|2000028428|2000028430|2000028432|2000028438|2000028442|2000028475|2000026324|2000026335|2000026345|2000026353|2000026358|2000026369|2000026380|2000026391|2000026404|2000026422|2000026469|2000026477|2000026484|2000026517|2000026557|2000026564|2000026596|2000026615|2000026623|2000026631|2000026646|2000026653|2000026659|2000026665|2000026671|2000026674|2000026677|2000026716|2000026728|2000026738|2000026764|2000026782|2000026798|2000026805|2000026814|2000026822|2000026832|2000026840|2000026855|2000026865|2000026872|2000026880|2000026902|2000027911|2000027916|2000027928|2000027935|2000027947|2000027951|2000027955|2000027969|2000027976|2000027980|2000027984|2000028001|2000028004|2000028012|2000028016|2000028045|2000028047|2000028049|2000028053|2000028055|2000028057|2000028059|2000028064|2000028068|2000028072|2000028074|2000028079|2000028081|2000028083|2000028085|2000028089|2000028097|2000028100|2000028104|2000028108|2000028112|2000028117|2000028128|2000028132|2000028140|2000028145|2000028163|2000028172|2000028176|2000028182|2000028192|2000028196|2000028205|2000028207|2000028212|2000028410|2000028320|2000028404|2000028268|2000028302|2000028350|2000028363|2000028261|2000028336|2000028227|2000028308|2000028288|2000028385|2000028369|2000028417|2000028392|2000028355|2000028264|2000028283|2000028257|2000028273|2000028244|2000028398|2000028327|2000028266|2000028314|2000028295|2000028239|2000028377|2000028277|2000028250|2000027003|2000026951|2000026938|2000027419|2000026992|2000026980|2000027013|2000027071|2000031730|2000027078|2000027083|2000027462|2000027109|2000027090|2000027096|2000027100|2000027449|2000027115|2000027120|2000027215|2000027128|2000027139|2000027157|2000027204|2000027173|2000027182|2000027166|2000027194|2000027243|2000027224|2000027251|2000027385|2000027394|2000027402|2000027411|2000027023|2000027370|2000027132|2000027137|2000027684|2000027147|2000027154|2000027163|2000027180|2000027186|2000027201|2000027208|2000027216|2000027223|2000027231|2000027238|2000027244|2000027254|2000027259|2000027250|2000027261|2000027641|2000027263|2000027193|2000027271|2000027267|2000027275|2000027279|2000027265|2000027281|2000027409|2000027125|2000027285|2000027733|2000027174|2000027660|2000027417|2000027748|2000027325|2000027337|2000027624|2000027344|2000027694|2000027351|2000027487|2000027496|2000027461|2000027358|2000027364|2000027367|2000027374|2000027379|2000027382|2000027398|2000027387|2000027392|2000027403|2000027665|2000027524|2000027465|2000027472|2000027480|2000027491|2000027690|2000027510|2000027676|2000027519|2000027514|2000027501|2000027533|2000027506|2000027529|2000027536|2000027540|2000027816|2000027819|2000027813|2000027564|2000027570|2000027558|2000027545|2000027577|2000027582|2000027700|2000027451|2000027743|2000027717|2000027756|2000027769|2000027798|2000027806|2000027786|2000027792|2000027779|2000027789|2000027759|2000027802|2000027795|2000027764|2000027773|2000027754|2000027810|2000027782|2000027628|2000027551|2000027832|2000027904|2000027822|2000027825|2000027913|2000027830|2000027918|2000027922|2000027927|2000027931|2000027598|2000027591|2000027671|2000027936|2000027610|2000027615|2000027725|2000027619|2000027606|2000027679|2000027634|2000028090|2000028181|2000028153|2000028009|2000028077|2000027975|2000028098|2000027988|2000028137|2000027981|2000027952|2000027996|2000028197|2000028002|2000028027|2000027970|2000028062|2000028161|2000027914|2000028124|2000028086|2000028146|2000027941|2000028017|2000028041|2000028105|2000028071|2000028121|2000028032|2000028169|2000028130|2000028038|2000028177|2000027945|2000028109|2000027964|2000027957|2000027930|2000028190|2000027605|2000028253|2000027572|2000027653|2000027711|2000028230|2000027581|2000027522|2000028258|2000028233|2000027728|2000027751|2000027693|2000028226|2000027594|2000027532|2000027664|2000027738|2000028249|2000027636|2000028242|2000027626|2000027645|2000027548|2000027702|2000027683|2000027672|2000027720|2000028245|2000028238|2000027616|2000028326|2000028496|2000028346|2000028433|2000028321|2000028301|2000028393|2000028352|2000028424|2000028406|2000028419|2000028464|2000028499|2000028342|2000028307|2000028312|2000028276|2000028286|2000028443|2000028292|2000028474|2000028439|2000028436|2000028402|2000028481|2000028279|2000028413|2000028379|2000028456|2000028358|2000028330|2000028272|2000028368|2000028451|2000028296|2000028492|2000028467|2000028488|2000028383|2000028373|2000028364|2000028387|2000028269|2000028485|2000028399|2000025597|2000025606|2000025612|2000025618|2000025624|2000025632|2000025639|2000025648|2000025657|2000025671|2000025681|2000025693|2000025709|2000025736|2000025749|2000025760|2000025774|2000025788|2000025798|2000025812|2000025825|2000025842|2000025854|2000025870|2000025896|2000025907|2000025928|2000025942|2000025955|2000025973|2000025985|2000025997|2000026011|2000026022|2000026033|2000026038|2000026051|2000026066|2000026083|2000026097|2000026109|2000026120|2000026128|2000026134|2000026141|2000026160|2000026168|2000027687|2000027716|2000027727|2000027741|2000027753|2000027771|2000027780|2000027790|2000027796|2000027803|2000027809|2000027814|2000027820|2000027826|2000027861|2000027867|2000027882|2000027888|2000027895|2000027900|2000027909|2000027915|2000027933|2000027942|2000027946|2000027956|2000027965|2000027985|2000027994|2000028007|2000028015|2000028021|2000028025|2000028028|2000028031|2000028034|2000028037|2000028042|2000028060|2000028065|2000026174|2000026171|2000025957|2000025685|2000026139|2000025636|2000025640|2000025645|2000025650|2000025656|2000025661|2000025667|2000025672|2000025676|2000025680|2000025685|2000025689|2000025694|2000025699|2000025706|2000025738|2000025743|2000025750|2000025755|2000025761|2000025766|2000025772|2000025778|2000025783|2000025791|2000025797|2000025802|2000025808|2000025814|2000025820|2000025828|2000025834|2000025838|2000025845|2000025850|2000025855|2000025860|2000025866|2000025873|2000025877|2000025883|2000025888|2000025900|2000025906|2000025913|2000025920|2000025923|2000025929|2000025935|2000025940|2000025946|2000025951|2000025957|2000025964|2000025968|2000025974|2000025979|2000025986|2000025993|2000026000|2000026005|2000026010|2000026015|2000026020|2000026027|2000026044|2000026049|2000026054|2000026061|2000026067|2000026074|2000026079|2000026084|2000026090|2000026098|2000026105|2000026110|2000026114|2000026119|2000026123|2000026127|2000026130|2000026133|2000026136|2000026139|2000026142|2000026144|2000026148|2000026150|2000026153|2000026156|2000026159|2000026163|2000026167|2000026171|2000026174|2000026177|2000026180|2000026183|2000026185|2000025437|2000025096|2000025111|2000025131|2000025143|2000025154|2000025164|2000025170|2000025178|2000025188|2000025198|2000025214|2000025235|2000025245|2000025251|2000025253|2000025259|2000025267|2000025279|2000025290|2000025299|2000025309|2000025323|2000025339|2000025353|2000025364|2000025388|2000025403|2000025416|2000025424|2000025437|2000025465|2000025478|2000025489|2000025496|2000025505|2000025520|2000025014|2000025024|2000024944|2000024944|2000024947|2000024949|2000024951|2000024953|2000024956|2000024969|2000024971|2000024973|2000024975|2000024977|2000024979|2000024981|2000024985|2000024992|2000024995|2000025008|2000025014|2000025019|2000025024|2000025029|2000025033|2000025045|2000025050|2000025058|2000025063|2000025072|2000025079|2000025108|2000025117|2000025125|2000025135|2000025145|2000025156|2000025195|2000025208|2000025216|2000025223|2000025231|2000025258|2000025265|2000025270|2000025275|2000025281|2000025287|2000025292|2000025304|2000025312|2000025319|2000025329|2000025336|2000025348|2000025355|2000025365|2000025374|2000025382|2000025391|2000025400|2000025407|2000025430|2000025435|2000025442|2000025450|2000025458|2000025467|2000025474|2000025483|2000025490|2000025503|2000025510|2000025524|2000025533|2000025550|2000025556|2000025562|2000025568|2000025572|2000025578|2000025585|2000025596|2000025605|2000025610|2000036080|2000025858|2000026111|2000025626|2000025631|2000025696|2000025705|2000025711|2000025714|2000025716|2000025718|2000025720|2000025723|2000025725|2000025727|2000025729|2000025731|2000025733|2000025737|2000025744|2000025765|2000025775|2000025784|2000025790|2000025804|2000025813|2000025822|2000025827|2000025836|2000025858|2000025867|2000025876|2000025882|2000025891|2000025898|2000025910|2000025924|2000025934|2000025941|2000025948|2000025958|2000025969|2000025982|2000025994|2000026001|2000026008|2000026014|2000026021|2000026028|2000026035|2000026039|2000026042|2000026052|2000026060|2000026069|2000026077|2000026086|2000026096|2000026104|2000026111|2000026194|2000026199|2000026207|2000026217|2000026222|2000026228|2000026235|2000024957|2000025338|2000025272|2000025390|2000026352|2000025313|2000025959|2000025297|2000026170|2000025512|2000024962|2000025587|2000025049|2000025210|2000025152|2000025229|2000025219|2000025832|2000025092|2000025457|2000025078|2000026062|2000025532|2000025146|2000025421|2000026566|2000025139|2000026385|2000026544|2000025561|2000026193|2000025249|2000025591|2000025034|2000026648|2000025595|2000026757|2000025884|2000025314|2000025246|2000025531|2000025238|2000025447|2000026508|2000025675|2000025536|2000025356|2000025970|2000025519|2000025032|2000025073|2000025695|2000025201|2000025509|2000025022|2000025326|2000026343|2000025821|2000025566|2000025439|2000026023|2000025586|2000026269|2000026154|2000025132|2000025053|2000025091|2000025175|2000025157|2000025408|2000026775|2000025264|2000025571|2000025558|2000025523|2000025598|2000025119|2000025181|2000026311|2000025480|2000025372|2000025497|2000025335|2000025293|2000025801|2000025492|2000025055|2000025310|2000025508|2000026439|2000024946|2000025286|2000025197|2000026579|2000025476|2000025552|2000026365|2000025501|2000025064|2000025580|2000026050|2000025576|2000025525|2000025454|2000024996|2000025169|2000026621|2000025486|2000025944|2000026260|2000026208|2000025683|2000025176|2000026721|2000025269|2000026555|2000025140|2000025075|2000025567|2000024963|2000025112|2000025340|2000025067|2000025163|2000025557|2000025361|2000025230|2000025429|2000025385|2000025539|2000025448|2000025322|2000025171|2000025242|2000025209|2000025126|2000025426|2000025095|2000025402|2000026412|2000026765|2000026220|2000025093|2000025548|2000026200|2000025469|2000024986|2000025191|2000025349|2000025614|2000025707|2000025438|2000025464|2000026597|2000026611|2000026161|2000025422|2000025859|2000026249|2000025301|2000026636|2000026660|2000025363|2000025233|2000025084|2000026400|2000025303|2000025764|2000025203|2000025383|2000026178|2000026426|2000025129|2000025419|2000025343|2000025459|2000025066|2000025931|2000025291|2000025468|2000026486|2000025752|2000025789|2000025577|2000025005|2000025185|2000025226|2000025192|2000026147|2000025103|2000025184|2000026289|2000025521|2000025406|2000025113|2000025413|2000025100|2000025394|2000025543|2000025321|2000025016|2000025507|2000025540|2000025996|2000025221|2000025397|2000025484|2000025623|2000026670|2000026495|2000025010|2000025378|2000025060|2000026282|2000025641|2000025082|2000025256|2000025368|2000025101|2000025003|2000025104|2000025087|2000026007|2000025983|2000025077|2000026466|2000025846|2000025444|2000026731|2000026745|2000025001|2000025905|2000025357|2000026214|2000025895|2000026523|2000025021|2000025417|2000026229|2000025190|2000025056|2000025379|2000025306|2000024991|2000026040|2000026704|2000025434|2000025456|2000025604|2000028746|2000025110|2000025138|2000025280|2000025777|2000025277|2000026478|2000025392|2000025120|2000026238|2000025498|2000025654|2000024998|2000025039|2000026244|2000025047|2000026675|2000025664|2000025369|2000024960|2000025918|2000025179|2000025158|2000025015|2000025042|2000026455|2000025028|2000025127|2000025260|2000025547|2000025328|2000024966|2000024984|2000025038|2000025150|2000026711|2000025239|2000026300|2000025043|2000025331|2000025346|2000025009|2000026330|2000025215|2000025165|2000025475|2000026265|2000026285|2000026296|2000026479|2000026491|2000026516|2000026559|2000026573|2000026588|2000026602|2000026614|2000026625|2000026656|2000026730|2000026749|2000052969|2000025609|2000025655|2000025669|2000025829|2000025839|2000025849|2000025865|2000025874|2000025885|2000025893|2000025927|2000025971|2000025992|2000053028|2000026112|2000026191|2000026197|2000026204|2000026215|2000026223|2000026237|2000026243|2000026252|2000026256|2000026261|2000053012|2000026792|2000026821|2000026881|2000026940|2000027006|2000027073|2000027094|2000027167|2000027191|2000027326|2000027330|2000027380|2000027400|2000027412|2000027089|2000027136|2000027156|2000027226|2000027317|2000027329|2000027352|2000027378|2000027388|2000027410|2000027418|2000027498|2000027528|2000027627|2000026291|2000026328|2000026389|2000026398|2000026428|2000026437|2000026458|2000026490|2000026499|2000026513|2000026593|2000026680|2000026690|2000026694|2000026808|2000026817|2000026860|2000026867|2000026874|2000026883|2000026896|2000026988|2000027031|2000027042|2000027049|2000027197|2000027206|2000027214|2000027222|2000027268|2000027313|2000027316|2000027320|2000027341|2000027360|2000027427|2000027429|2000027452|2000027488|2000027508|2000027538|2000027546|2000027554|2000027566|2000027585|2000027607|2000027656|2000027663|2000027678|2000027682|2000027737|2000027868|2000028113|2000028211|2000028217|2000028231|2000028313|2000028415|2000028448|2000028450|2000028469|2000028479|2000026315|2000026430|2000026453|2000026460|2000026488|2000026526|2000026535|2000026575|2000026586|2000026605|2000026638|2000026696|2000026703|2000026756|2000026773|2000026845|2000026889|2000026895|2000027901|2000027905|2000027923|2000027959|2000027963|2000027972|2000027989|2000027993|2000027997|2000028008|2000028022|2000028051|2000028093|2000028136|2000028148|2000028159|2000028168|2000028187|2000026410|2000026774|2000026999|2000027062|2000026983|2000026851|2000026846|2000027026|2000026293|2000026334|2000026429|2000026493|2000026500|2000026416|2000026507|2000027044|2000026973|2000027005|2000026529|2000026546|2000026978|2000026584|2000026563|2000026512|2000026642|2000026719|2000026725|2000026744|2000026536|2000026423|2000026763|2000026804|2000026552|2000026532|2000026540|2000026958|2000026826|2000026831|2000027041|2000026926|2000027058|2000026701|2000026994|2000026936|2000026955|2000027012|2000057014|2000053584|2000054502|2000054506|2000054521|2000055604|2000055796|2000055932|2000056148|2000056295|2000056527|2000056556|2000056972|2000057027|2000057237|2000057279|2000057290|2000057642|2000059636,1345195736|1338465156|2000006658|2000006663
E38000081,99K,NHS High Weald Lewes Havens CCG,E54000033,Sussex and East Surrey,7,Pathways,31/07/2018,,2000013792|2000013793|2000013794|2000013795|2000013796|2000016709|2000016703|2000016711|2000016707|2000016705|2000016293|2000016252|2000016247|2000016287
E38000082,08G,NHS Hillingdon CCG,E54000027,North West London Health and Care Partnership,10,Pathways,31/07/2018,,2000007896|2000008490|2000015769
E38000083,09X,NHS Horsham and Mid Sussex CCG,E54000033,Sussex and East Surrey,13,Pathways,31/07/2018,,2000013792|2000013793|2000013794|2000013795|2000013796|2000016709|2000016703|2000016711|2000016707|2000016705|2000016293|2000016252|2000016247|2000016287
E38000084,07Y,NHS Hounslow CCG,E54000027,North West London Health and Care Partnership,16,Pathways,31/07/2018,,2000007896|2000008491|2000015768
E38000085,03F,NHS Hull CCG,E54000006,"Humber, Coast and Vale",19,Pathways,30/11/2017,,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|1329495581|1338457985|1340019884|1340019693|1340019782|1479806497|2000003632|2000003631|2000003633|2000003634|2000014913
E38000086,06L,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk and North East Essex,22,Pathways,01/03/2017,2000028534|2000028779|2000028741|2000028539|2000028669|2000028545|2000028749|2000028553|2000028559|2000028565|2000028579|2000028586|2000028593|2000028599|2000028775|2000028782|2000028607|2000028614|2000028621|2000028626|2000028678|2000028649|2000028637|2000028684|2000028753|2000028632|2000028656|2000028662|2000028760|2000028674|2000028691|2000028705|2000028770|2000028724|2000028730|2000028709|2000028719|2000028785|2000028789|2000028765|2000028571|2000028736|2000028794|2000029212|2000028791|2000029203|2000029062|2000029160|2000029151|2000028810|2000028796|2000028801|2000029183|2000029141|2000028798|2000029194|2000028805|2000029252|2000028824|2000028895|2000028880|2000028820|2000028887|2000028903|2000029235|2000028866|2000028907|2000028912|2000028918|2000028922|2000028873|2000028995|2000028927|2000029265|2000028988|2000029245|2000028937|2000028943|2000028950|2000028956|2000028964|2000028973|2000028980|2000029004|2000029055|2000028861|2000028833|2000028844|2000028850|2000028855|2000028829|2000029035|2000029016|2000029026|2000029049|2000029074|2000029087|2000029097|2000029108|2000029277|2000029010|2000028841|2000029258|2000029121|2000028929|2000029130|2000028776|2000028742|2000028729|2000028463|2000028519|2000028480|2000028515|2000028511|2000028490|2000028528|2000028507|2000028509|2000028473|2000028526|2000028503|2000028468|2000028495|2000028513|2000028505|2000028486|2000028517|2000028500|2000028521|2000028523|2000028532|2000028535|2000028735|2000028580|2000028538|2000028544|2000028763|2000028541|2000028714|2000028550|2000028548|2000028750|2000028566|2000028769|2000028573|2000028588|2000028594|2000028609|2000028685|2000028721|2000028636|2000028601|2000028622|2000028631|2000028646|2000028654|2000028675|2000028453|2000028679|2000028661|2000028707|2000028667|2000028692|2000028560|2000028755|2000028698,2000007341|2000013632|2000013744|2000013637|2000015018
E38000087,10L,NHS Isle of Wight CCG,E54000042,Hampshire and the Isle of Wight,25,Pathways,31/07/2018,,2000010427|2000010419
E38000088,08H,NHS Islington CCG,E54000028,North London Partners in Health and Care,28,Pathways,30/08/2018,,2000006554|2000007183|2000007184|2000007187|2000007893|2000007895|2000007896|2000007897|2000007898
E38000089,11N,NHS Kernow CCG,E54000036,Cornwall and the Isles of Scilly,31,Pathways,16/07/2018,,2000005674|1999999993
E38000090,08J,NHS Kingston CCG,E54000031,South West London Health and Care Partnership,34,Pathways,14/06/2018,,2000005325|1475055548|2000007898
