CCG16CD,CCG16CDH,CCG16NM,STP17CD,STP17NM,FID,Product,LiveDate,ServiceIdWhitelist,ITKServiceIdWhitelist
E38000005,07M,NHS Barnet CCG,E54000028,North Central London,11,Babylon,01/03/2017,,
E38000164,05R,NHS South Warwickshire CCG,E54000018,Coventry and Warwickshire,12,Ask NHS,01/03/2017,,
E38000083,09X,NHS Horsham and Mid Sussex CCG,E54000033,Sussex and East Surrey,13,,,,
E38000006,02P,NHS Barnsley CCG,E54000009,South Yorkshire and Bassetlaw,14,Pathways,26/02/2018,1338565496|1345732676|1499783470|147735|147736|146854|146855|1321882297|1321882562|1321884152|1321884157|1441966744|1329831271|2000000403|126255|126256|126257|126258|126259|126260|126261|126263|126264|126266|126269|126271|126272|126273|126274|126275|126276|126277|126278|126279|126280|126282|126283|126284|126285|126286|126287|126288|126289|1320231284|1336984046|1416410282|125869|125870|125871|125872|125873|125876|125877|125878|125879|125880|125881|125882|125883|125884|125885|125887|125888|125889|125890|125891|125892|125893|125895|125896|125897|125898|125899|125900|125901|125902|125903|125904|125905|125906|125907|125908|125910|125911|125912|125913|125914|125915|125916|125917|1320238064|1320244222|1320249019|1320251348|1363694156|1389275152|125874|125875|125909|1389273159|1338985411|2000000402,1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|1490622465|2000000407|2000000403|2000000410|2000000409|2000000405|2000000341|1379326435|1352818212|120031|1338565496|1338286262
E38000165,04Q,NHS South West Lincolnshire CCG,E54000013,Lincolnshire,15,,,,
E38000084,07Y,NHS Hounslow CCG,E54000027,North West London,16,,,,
E38000007,99E,NHS Basildon and Brentwood CCG,E54000026,Mid and South Essex,17,Pathways,18/06/2018,1354568314|1354738049|1354566515|1354736703|1354736590|1354737704|1354567219|1354736827|1368028698|1354737800|1354570127|1354738737|1354738525|1354737590|1354738628|1354737146|1354737363|1354737478|1354569808|1354738296|1354566873|1354738171|1354570237|1354566732|1354567962|1354568204|1354568062|1354568699|1354566223|1354566357|1354738405|1354569217|1354737049|1354568862|1354737912|1354571412|1354736929|1354568967|1354571078|1354567723|1354569112|1354738858|1354567309|1354736348|1354736458|1354567870|1354570019|1354567106|1354482006|1354569352|1354570960|1354395640|1353528811|1353529144|1354393775|1354393871|1353533623|1353535204|1354398045|1354395324|1354395501|1354397334|1354393136|1354393287|1353527779|1353528018|1354393978|1354397898|1354396102|1354397464|1354396697|1354396895|1353533442|1354396459|1354312359|1354397613|1354312496|1354398695|1354394463|1354397766|1354395174|1354393530|1354397144|1354394733|1354392999|1354483622|2000000266|2000002124|1354484115|1354481795|1354482195|1354480980|1354480622|1354483745|1354479895|1354564720|1354483373|1382543706|1354483850|1354479416|1354481101|1354481195|1354480124|1354480000|1354484231|1354480502|1354484380|1354564561|1354565273|1407157843|1354480848|1354565854|1354479664|1354394980|1354483989|1354565078|1354483063|1354480731|1354479311|1354484530|1354564926|1353529411|1353529842|1354309527|1354307350|1354307515|1493993000|1354309700|1354309835|1354308446|1354309960|1354309346|1354308778|1353527487|1353528259|1353528508|1353530029|1354306543|1353530851|1353535359|1354311466|1354307869|1354306932|1354307088|1386927883|1354310494|1354310276|1354311643|1353535527|1354312215|1386257462|1354309193|1354311805|1354311908|1354306012|1354308579|1354307659|1354311292|1354310133|1354308228|1354306215|1354306699|1345544690|1345627677|1345544866|1345544299|1345547578|1345633973|1345629225|1345634823|1345554485|1345634158|1345628610|1345555199|1345547982|1345631745|1345632363|1345558426|1345555774|1345632210|1345558021|1345634364|1345628363|1345554720|1345634521|1345558628|1345559039|1345559209|1345558871|1345561936|1345559423|1345559581|1345559758|1345559956|1345561196|1345560921|1345560744|1345561362|1345561606|1345561767|1345562459|1345635502|1345563598|1345629694|1345563730|1345563961|1345564303|1345624036|1345624227|1345624352|1345625616|1345626425|1345625900|1345626845|1345626984|1345627156|1345627362|1345560378|1345560098|1345633686|2000004566|1443101883|1457432524|1345623792|1345626235|1345626601|1374669960|1346921611|1346922134|1346925494|1346923274|1346922487|1346860146|1346859036|1346921938|1346921697|1346923714|1346922047|1346921530|1346921810|1346924988|1346924894|1346861053|1346924602|1346925988|1346926226|1416931796|1346926633|1346926826|1352463005|1346927043|1346926293|1346926910|1346927165|1346929049|1346927660|1495117406|1346927759|1346928023|1346928120|1346928466|1346934940|1374500553|1346928562|1346928935|1346928212|1346928807|1346931850|1346932667|1345564117|1346934824|1346932350|1352462536|1346932770|1346935061|1346927391|1390391116|1346935152|1456311916|2000001471|1376408814|1346856827|1346925374|1346924795|1346925213|1376408360|1346927927|1376471285|1346928675|1346932180|1352470031|1346154274|1346154838|1346151417|1345645485|1345645834|1345646208|1346153799|1346229106|1345646353|1346147732|1346150895|1346146920|1345649282|1346143853|1346145498|1346145839|1346146328|1346146630|1346147159|1346228745|1346147503|1346148478|1346227407|1346227659|1346148974|1346228286|1346229612|1346149122|1346149413|1346151254|1346228452|1346149628|1346230452|1346149971|1346227817|1346227960|1345646730|1345646569|1345649007|1346230586|1438776390|1494595227|1346150711|1346150529|1346230303|1346228927|1346229242|1354830206|1441887636|1354910505|1441887856|1354830097|1354829397|1354831342|1354831728|1354909333|1354830401|1437041637|1354910600|1441890828|1354908692|1354911340|1354829509|1354830274|1354831259|1354829626|1354908827|1354831415|1354829837|1354829747|1354829301|1354740160|1354740325|1354740860|1354744144|1354744239|1354744037|1354744331|1354744440|1354828174|1354825544|1354826510|1354826747|1441891228|1354827511|1354828788|1354828932|1354740005|1354739845|1354740470|1354740756|1354741077|1450351577|1354825417|1354740577|1354824929|1354825045|1354825275|1354825760|1354826102|1354826290|1354829045|1354826628|1354827005|1354827349|1354744559|1354827177|1354827798|1354828053|1354828290|1354828393|1354828674|1354910016|1354909829|1354911277|1354909495|1354911627|1354910794|1354910146|1354909928|1354911026|1354910251|1354910900|1441891515|1354910414|1346935624|1346935795|1346936623|1346937294|1346936791|1346936906|1346937011|1346937200|1346937595|1346939201|1346938410|1346938942|1346939043|1346941971|1346939281|1346939732|1346937978|1346940509|1346942682|1346942409|1346937385|1346942804|1380811411|1346943394|1346942921|1346943113|1346943027|1346938778|1346937482|1346943202|1346943527|1346943276|1346939808|1347017582|1347018067|1347019151|1347018161|1347018313|1347268656|1423238305|1347264825|1347018926|1347030585|1347030659|1347030744|1347030816|1347031075|1347030926|1347265879|1347266252|1347267267|1347267624|1347268138|1347267705|1347018834|1347265988|1347017900|1347268817|1347018667|1347018545|1347269174|1346939963|1347269273|1347269398|1346943728|1346943924|1346943856|1346944420|1346944224|1346944100|1346944329|1363344496|1347013331|1346944576|1347016369|1347012924|1347013104|1347016601|1347015193|1347015462|1347015359|1347015544|1347015893|1347015644|1347014785|1347014919|1347012727|1347015814|1347016482|1347016690|1347015004|1347013856|1347016769|1426600863|1426601212|1351599399|1426853302|1426601676|1426601515|1346666352|1352717319|1351598809|1351598053|1346665508|1346667771|1346666715|1346665508|1359727731|1359727933|1359727362|1359726784|1359727619|1359728062|1359728205|1359727006|1374591761|1374592665|1374592929|1374592263|1346667771|1346666715|1376659643|1376659760|1376660513|1376660321|1374585416|1376658968|1376659444|1371821939|1346675191|1355318918|1355319594|1355311462|1448361685|1355309463|1355308911|1355321223|1355311291|1448533061|1448531013|1448621105|1448531597|1346673783|1355322250|1435940572|1412341802|1448621486|1448531227|1448531366|1435941808|1448537289|1412341335|1390489623|1448531837|1360761582|1435942002|1412342102|1351785399|1344863327|1346407659|1346407264|1346159622|1490788161|1490784291|1490783588|1363255301|1363257010|1363256527|1357229629|1421072182|1357228966,
E38000166,05T,NHS South Worcestershire CCG,E54000019,Herefordshire and Worcestershire,18,Ask NHS,01/03/2017,,
E38000085,03F,NHS Hull CCG,E54000006,"Humber, Coast and Vale",19,Pathways,30/11/2017,131568|131498|131499|131500|131501|131502|131503|131504|131505|131506|131507|131508|131509|131510|131511|131512|131513|131514|131515|131516|131517|131518|131519|131520|131521|131522|131523|131524|131525|131526|131527|131528|131529|131530|131531|131532|131533|131534|131535|131536|131537|131538|131539|131540|131541|131542|131543|131544|131545|131546|131547|131548|131549|131550|131552|131553|131554|131555|131556|131558|131559|131560|131561|131562|131563|131564|131565|133339|133340|133341|133342|133343|133344|133345|133346|133347|133348|133349|133350|133351|133352|133353|133355|133356|133357|133358|133359|133360|133361|133363|133364|133365|133366|133367|133368|133369|133370|120572|1303902897|1306225591|1315580472|1315580610|1329406045|1329406389|1351611408|1362412183|1375867231|1383125839|1386842516|1401802454|1414075736|1451559394|1469397218|1479131304|1479131418|1480326373|1489052118|1490346659|1491228465|1491919938|1492786391|2000001187|2000001189|2000001190|2000000328|2000000333,1325771323|1380177025|1351611408|2000003638|2000003445|1336549578|1336549495|1327660471|1327676061|23694|1358518554|1354723053|2000003636|1490622876|1362471563|1362471380|1362412492|1362412557|2000003447|2000003446|2000004744|2000004745|1303902897|1497536006|1504709368|1339685543|1336549539|1338458092|1491294033|1491228465|1490622632|2000000330|2000000402|2000000404|2000000340|2000000326|2000000406|2000000325|2000000329|2000000339|2000000343|2000000328|2000000327|2000000350|2000000336|2000000408|2000000346|2000000411|2000000348|2000000352|2000000337|2000000403|2000000405|2000000344|2000000334|2000000407|2000000331|2000000332|2000000341|2000000345|2000000333|2000000335|2000000351|2000000338|2000000409|2000000347|2000000410|2000000349|2000000353|1329495581|1338457985|1479808152|1340019884|1340019693|1340019782|1362471653|1479806497|2000003632|2000003631|2000003633|2000003634|1490622134
E38000008,02Q,NHS Bassetlaw CCG,E54000009,South Yorkshire and Bassetlaw,20,Pathways,26/02/2018,1338286262|1325849840|1356085642|1383744457|1383745649|1386587518|1338470354|1445434062|1339764285|2000000405|1316614641|1316614767|1316614949|1316615109|1316615213|1316615514|1316615659|1316615797|1316616030|1316616161|1316616307|1316616418|1316617027|1316617237|1316617383|1316617740|1316617940|1316618798|1316618924|1316619204|1316619376|1316619873|1316681846|1316682169|1316682299|1316682422|1316682540|1316683510|1391183485|1418743584|1316618123|1316618437|1316618670|1316619084|1316682038|1375883582|1336744284|1337008395|1467971503|2000000404,1499783470|1356085642|1383744457|1383745649|1386587518|1338457529|1338457722|1340268592|1505313682|1338538817|2000000402|2000000404|2000000406|2000000339|2000000408|2000000411|1490622465|2000000407|2000000403|2000000410|2000000409|2000000405|2000000341|1379326435|1352818212|120031|1338565496|1338286262
E38000167,10X,NHS Southampton CCG,E54000042,Hampshire and the Isle of Wight,21,,,,
E38000086,06L,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk and North East Essex,22,Expert24,01/03/2017,,
E38000009,11E,NHS Bath and North East Somerset CCG,E54000040,"Bath, Swindon and Wiltshire",23,,,,
E38000168,99G,NHS Southend CCG,E54000026,Mid and South Essex,24,Pathways,18/06/2018,1354568314|1354738049|1354566515|1354736703|1354736590|1354737704|1354567219|1354736827|1368028698|1354737800|1354570127|1354738737|1354738525|1354737590|1354738628|1354737146|1354737363|1354737478|1354569808|1354738296|1354566873|1354738171|1354570237|1354566732|1354567962|1354568204|1354568062|1354568699|1354566223|1354566357|1354738405|1354569217|1354737049|1354568862|1354737912|1354571412|1354736929|1354568967|1354571078|1354567723|1354569112|1354738858|1354567309|1354736348|1354736458|1354567870|1354570019|1354567106|1354482006|1354569352|1354570960|1354395640|1353528811|1353529144|1354393775|1354393871|1353533623|1353535204|1354398045|1354395324|1354395501|1354397334|1354393136|1354393287|1353527779|1353528018|1354393978|1354397898|1354396102|1354397464|1354396697|1354396895|1353533442|1354396459|1354312359|1354397613|1354312496|1354398695|1354394463|1354397766|1354395174|1354393530|1354397144|1354394733|1354392999|1354483622|2000000266|2000002124|1354484115|1354481795|1354482195|1354480980|1354480622|1354483745|1354479895|1354564720|1354483373|1382543706|1354483850|1354479416|1354481101|1354481195|1354480124|1354480000|1354484231|1354480502|1354484380|1354564561|1354565273|1407157843|1354480848|1354565854|1354479664|1354394980|1354483989|1354565078|1354483063|1354480731|1354479311|1354484530|1354564926|1353529411|1353529842|1354309527|1354307350|1354307515|1493993000|1354309700|1354309835|1354308446|1354309960|1354309346|1354308778|1353527487|1353528259|1353528508|1353530029|1354306543|1353530851|1353535359|1354311466|1354307869|1354306932|1354307088|1386927883|1354310494|1354310276|1354311643|1353535527|1354312215|1386257462|1354309193|1354311805|1354311908|1354306012|1354308579|1354307659|1354311292|1354310133|1354308228|1354306215|1354306699|1345544690|1345627677|1345544866|1345544299|1345547578|1345633973|1345629225|1345634823|1345554485|1345634158|1345628610|1345555199|1345547982|1345631745|1345632363|1345558426|1345555774|1345632210|1345558021|1345634364|1345628363|1345554720|1345634521|1345558628|1345559039|1345559209|1345558871|1345561936|1345559423|1345559581|1345559758|1345559956|1345561196|1345560921|1345560744|1345561362|1345561606|1345561767|1345562459|1345635502|1345563598|1345629694|1345563730|1345563961|1345564303|1345624036|1345624227|1345624352|1345625616|1345626425|1345625900|1345626845|1345626984|1345627156|1345627362|1345560378|1345560098|1345633686|2000004566|1443101883|1457432524|1345623792|1345626235|1345626601|1374669960|1346921611|1346922134|1346925494|1346923274|1346922487|1346860146|1346859036|1346921938|1346921697|1346923714|1346922047|1346921530|1346921810|1346924988|1346924894|1346861053|1346924602|1346925988|1346926226|1416931796|1346926633|1346926826|1352463005|1346927043|1346926293|1346926910|1346927165|1346929049|1346927660|1495117406|1346927759|1346928023|1346928120|1346928466|1346934940|1374500553|1346928562|1346928935|1346928212|1346928807|1346931850|1346932667|1345564117|1346934824|1346932350|1352462536|1346932770|1346935061|1346927391|1390391116|1346935152|1456311916|2000001471|1376408814|1346856827|1346925374|1346924795|1346925213|1376408360|1346927927|1376471285|1346928675|1346932180|1352470031|1346154274|1346154838|1346151417|1345645485|1345645834|1345646208|1346153799|1346229106|1345646353|1346147732|1346150895|1346146920|1345649282|1346143853|1346145498|1346145839|1346146328|1346146630|1346147159|1346228745|1346147503|1346148478|1346227407|1346227659|1346148974|1346228286|1346229612|1346149122|1346149413|1346151254|1346228452|1346149628|1346230452|1346149971|1346227817|1346227960|1345646730|1345646569|1345649007|1346230586|1438776390|1494595227|1346150711|1346150529|1346230303|1346228927|1346229242|1354830206|1441887636|1354910505|1441887856|1354830097|1354829397|1354831342|1354831728|1354909333|1354830401|1437041637|1354910600|1441890828|1354908692|1354911340|1354829509|1354830274|1354831259|1354829626|1354908827|1354831415|1354829837|1354829747|1354829301|1354740160|1354740325|1354740860|1354744144|1354744239|1354744037|1354744331|1354744440|1354828174|1354825544|1354826510|1354826747|1441891228|1354827511|1354828788|1354828932|1354740005|1354739845|1354740470|1354740756|1354741077|1450351577|1354825417|1354740577|1354824929|1354825045|1354825275|1354825760|1354826102|1354826290|1354829045|1354826628|1354827005|1354827349|1354744559|1354827177|1354827798|1354828053|1354828290|1354828393|1354828674|1354910016|1354909829|1354911277|1354909495|1354911627|1354910794|1354910146|1354909928|1354911026|1354910251|1354910900|1441891515|1354910414|1346935624|1346935795|1346936623|1346937294|1346936791|1346936906|1346937011|1346937200|1346937595|1346939201|1346938410|1346938942|1346939043|1346941971|1346939281|1346939732|1346937978|1346940509|1346942682|1346942409|1346937385|1346942804|1380811411|1346943394|1346942921|1346943113|1346943027|1346938778|1346937482|1346943202|1346943527|1346943276|1346939808|1347017582|1347018067|1347019151|1347018161|1347018313|1347268656|1423238305|1347264825|1347018926|1347030585|1347030659|1347030744|1347030816|1347031075|1347030926|1347265879|1347266252|1347267267|1347267624|1347268138|1347267705|1347018834|1347265988|1347017900|1347268817|1347018667|1347018545|1347269174|1346939963|1347269273|1347269398|1346943728|1346943924|1346943856|1346944420|1346944224|1346944100|1346944329|1363344496|1347013331|1346944576|1347016369|1347012924|1347013104|1347016601|1347015193|1347015462|1347015359|1347015544|1347015893|1347015644|1347014785|1347014919|1347012727|1347015814|1347016482|1347016690|1347015004|1347013856|1347016769|1426600863|1426601212|1351599399|1426853302|1426601676|1426601515|1346666352|1352717319|1351598809|1351598053|1346665508|1346667771|1346666715|1346665508|1359727731|1359727933|1359727362|1359726784|1359727619|1359728062|1359728205|1359727006|1374591761|1374592665|1374592929|1374592263|1346667771|1346666715|1376659643|1376659760|1376660513|1376660321|1374585416|1376658968|1376659444|1371821939|1346675191|1355318918|1355319594|1355311462|1448361685|1355309463|1355308911|1355321223|1355311291|1448533061|1448531013|1448621105|1448531597|1346673783|1355322250|1435940572|1412341802|1448621486|1448531227|1448531366|1435941808|1448537289|1412341335|1390489623|1448531837|1360761582|1435942002|1412342102|1351785399|1344863327|1346407659|1346407264|1346159622|1490788161|1490784291|1490783588|1363255301|1363257010|1363256527|1357229629|1421072182|1357228966,
E38000087,10L,NHS Isle of Wight CCG,E54000042,Hampshire and the Isle of Wight,25,,,,
E38000010,06F,NHS Bedfordshire CCG,E54000024,"Milton Keynes, Bedfordshire and Luton",26,,,,
E38000169,04R,NHS Southern Derbyshire CCG,E54000012,Derbyshire,27,,,,
E38000088,08H,NHS Islington CCG,E54000028,North Central London,28,Babylon,01/03/2017,,
